highway,direction,exit,exit_name
Major Deegan Expressway, NB, Exit 5, E.161st St/Malcombs Dam Br
Major Deegan Expressway, NB, Exits 7N-S, NB Cross Bx Expwy/GWB
Major Deegan Expressway, NB, Exit 8, W. 179th St
Major Deegan Expressway, NB, Exit 9, W. Fordham Rd/University Heights Br
Major Deegan Expressway, NB, Exit 10, W. 230th St
Major Deegan Expressway, NB, Exit 11, Van Cortlandt Park S
Major Deegan Expressway, NB, Exit 12, SB Henry Hudson Pkwy/NB Saw Mill River Pkwy
Major Deegan Expressway, NB, Exit 13, E. 233rd St
Major Deegan Expressway, NB, Exit 14, McClean Ave
Major Deegan Expressway, NB, NYS Thruway
Major Deegan Expressway, SB, NYS Thruway
Major Deegan Expressway, SB, Exit 13, E. 233rd St
Major Deegan Expressway, SB, Exit 11, Van Cortlandt Park S
Major Deegan Expressway, SB, Exit 10, W. 230th St
Major Deegan Expressway, SB, Exit 9, W. Fordham Rd/University Heights Br
Major Deegan Expressway, SB, Exits 7N-S, Cross Bronx Expwy/GWB
Major Deegan Expressway, SB, Exit 6, E. 153rd St/River Ave
Major Deegan Expressway, SB, Exit 5, E. 161st St/Malcombs Dam Br
Major Deegan Expressway, SB, Exit 3, E. 138th St/Madison Ave Br
Major Deegan Expressway, SB, Exit 2, Willis Ave/Third Ave Br
Major Deegan Expressway, SB, Exit 1, Brook Ave
Major Deegan Expressway, SB, RFK Bridge/EB Bruckner Expwy

Bronx River Parkway, NB, Bruckner Expwy
Bronx River Parkway, NB, Exit 4, Cross Bronx Expwy
Bronx River Parkway, NB, Exit 6, NB Boston Rd/Bronx Zoo
Bronx River Parkway, NB, Exit 7E, Pelham Pkwy
Bronx River Parkway, NB, Exit 7W, SB Fordham Rd
Bronx River Parkway, NB, Exit 8E, Allerton Ave
Bronx River Parkway, NB, Exit 8W, Mosholu Pkwy
Bronx River Parkway, NB, Exit 9, Gun Hill Rd
Bronx River Parkway, NB, Exit 10, E. 233rd St
